location,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18
Italy,,,93,74,93,131,202,233,240,566,342,466,587,769,778,1247,1492,1797,977,2313,2651,2547,3497,3590,3233,3526,4207,5322,5986,6557,5560,4789,5249,5210,6203,5909,5974,5217,4050,4053,4782,4668,4585,4805,4316,3599,3039,3836,4204,3951,4694,4092,3153,2972,2667,3786,3493,3491,3047,2256,2729,3370,2646,3021,2357,2324,1739,2091,2086,1872,1965,1900,1389,1221,1075,1444,1401,1327,1083,802,744,1402,888,992,789,875,675,451,813,665,642,652,669,531,300,397,584,593,516,416,333,200,318,321,177,518,270,197,280,283,202,379,163,346,338,301,210,328,331,-148,264,224,221,113,577,296,255,175,174,126,142,182,201,223,235,192,208,137,193,214,276,188,234,169,114,162,230,231,249,218,190,128,280,306,252,274,254,168,202,288,382,379,295,238,159,190,384,401,552,347,463,259,412,476,522,574,629,477,320,401,642,840,947,1071,1209,953,876,1366,1409,1460,1444,1365,996,975,1326,1397,1732,1694,1296,1150,1369,1430,1597,1616,1501,1456,1008,1229,1452,1583,1907,1637,1587,1350,1391,1640,1786,1912,1869,1766,1494,1647,1850,2548,2499,2843,2578,2257,2677,3677,4458,5372,5724,5456,4619,5898,7332,8803,10009,10925,11705,9337,10871,15199,16078,19143,19640,21273,17007,21989,24988,26829,31079,31756,29905,22253,28241,30548,34502,37802,39809,32614,25269,35090,32961,37977,40902,37249,33977,27352,32191,34280,36176,37239,34764,28337,22927,23227,25852,29001,28342,26315,20646,16376,19347,20709,23219,24110,21052,18887,13679,14837,12755,16998,18726,19902,17937,12025,14839,17568,18233,15401,16305,15102,10869,13316,13908,18039,19037,10405,8937,8581,11210,16202,23477,22210,11825,14245,10798,15375,20326,18416,17529,19976,18625,12530,14242,15773,17243,16144,16310,12544,8825
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,30,108,35,86,,115,87,101,55,75,234,,79,132,186,,103,74,87,80,180,,167,66,69,166,128,98,89,81,102,90,113,291,172,173,112,111,124,158,143,104,149,102,104,133,188,163,240,165,258,244,285,316,255,345,326,263,303,438,474,648,718,704,723,552,600,705,769,717,795,637,564,904,949,929,840,983,774,826,1141,1226,1386,1391,1531,1282,1208,1374,1393,1958,2060,1634,1581,2146,2272,2648,2606,2886,2401,2189,2335,2262,2667,2744,2845,2590,2439,2632,2979,3604,3663,3367,3449,2657,3099,3645,4236,3637,4518,3223,4231,4019,5344,5782,6127,5493,4814,4192,4890,5939,5641,6377,5929,5241,5376,4824,6792,7147,7513,7482,6134,4688,7369,7043,7663,7498,6365,6663,5469,4557,6840,6693,8225,8159,7759,5352,8713,8771,10550,10104,11717,9230,7187,9309,10504,10933,12026,10684,9924,6986,9215,12027,12259,11905,11507,10776,9056,9909,11892,11674,12701,11945,9276,8431,8782,12027,12625,13467,12969,11249,8841,11807,13477,14392,14001,14687,11129,7668,11242,14740,16447,15454,15099,12414,10324,9524,13305,14932,17096,16546,13510,10561,12982,16337,18326,16325,15718,11968,9253,11712,14308,13924,13267,13379,9745,6609,9598,12145,10652,11100,11786,8037,5331,8317,11977,10880,11163,11859,8468,5645,7893,10621,10332,10097,9608,7140,4184,4265,7164,8593,9043,7846,6098,5432,5726,8037,7533,7629,6899,5201,3278,3199,3610,5303,6994,7112,5274,3558,5062,6981,6843,7326,7002,5795,4116,5853,8141,8586,,10689,3713,5030,7216,11650,11765,11586,4080,5240,5884,8222,13790,13441,13835,13346,11057,7808,8704,13783,12725,13286,12332,8932,7264,8185
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,25,46,39,48,65,51,38,70,110,132,131,145,101,121,163,132,178,202,253,296,346,396,260,403,375,442,353,385,448,450,578,622,764,511,729,1043,1089,1239,970,835,852,1223,1047,1425,1515,1349,1383,1434,1120,1609,1982,1906,1938,1562,1305,1997,1862,2409,2437,2112,2075,2414,2713,2248,2973,2960,3329,2764,2485,3455,3463,3377,3227,2885,3152,2771,3891,3912,4442,4346,3593,3484,2999,4199,4883,4790,5222,3494,4147,3427,4599,4930,5662,5030,4717,5343,4577,6288,5437,6104,5441,4410,4050,3805,5432,5681,6741,6740,6914,4683,4902,6258,6995,7280,6891,6094,4482,4685,7051,6149,6406,7257,7615,5311,5172,6859,6019,8438,7573,6751,5480,4973,7208,5752,7730,8458,9556,4853,4767,6148,6139,6590,6717,6495,4376,5558,6686,5858,7371,5618,6345,4448,3571,5506,5792,6775,5928,6482,3948,3541,4916,5267,6026,5824,5974,4129,3719,6476,4921,5937,6196,6319,4614,3486,5351,4461,5043,5935,5674,4408,3335,4771,4444,3182,4841,5167,3542,2917,4683,4786,5408,5401,5573,3886,3400,4446,5053,5099,4775,4863,3712,28115,4828,4580,5300,5532,4308,3175,3542,4295,4056,5514,6751,5447,4119,3699,5788,6845,6612,6604,6025,4360,4166,5942,5595,5948,6000,6151,4430,3763,5250,5225,5567,5931,6810,5887,4960,5746,7646,5658,5558,5860,3269,2874,1757,3918,4472,6426,6719,9187,7483,10794,10335,8107,12081,10728,5668,6472,8819,11251,11030,12127,11625,7455,6399,11006,11974,11897,12253,12057,8608,5930,11228,10297,11799,12248,12129,6870,5370,12511,11653,12485,9679,4974,6217,5996,12099,12406,12159,11091,6359,5211,6464,11271,13345,13734,14362,16105,10003,7594,14395,15873,16468,21366,20523,11170,8074
Portugal,,,,,,,,,,,,,,,,,,,,,,53,57,76,86,117,,337,235,260,320,460,302,633,549,724,902,792,446,1035,808,783,852,638,754,452,712,699,815,1516,515,598,349,514,643,750,181,663,521,657,516,603,371,444,595,472,163,295,183,540,306,-161,92,242,178,480,533,553,138,175,98,234,219,187,264,227,226,173,223,228,252,288,271,152,165,219,285,304,350,257,297,200,195,366,331,377,382,342,192,421,294,310,270,283,227,346,300,336,417,375,377,292,259,345,367,311,451,323,457,266,229,313,328,374,413,328,232,287,443,418,402,542,291,306,233,375,339,312,313,246,135,127,252,229,313,263,209,135,111,203,255,204,238,153,106,112,167,213,290,186,131,157,120,278,325,235,198,121,132,214,253,291,219,241,145,123,192,362,399,401,374,320,244,231,390,418,406,486,315,249,388,646,585,687,497,673,613,425,605,770,780,849,552,623,463,802,691,899,884,665,425,688,825,854,888,963,904,734,427,944,1278,1394,1646,1090,1249,1208,2072,2101,2608,2153,1856,1949,1876,2535,3270,2899,3669,2577,2447,3299,3960,4224,4656,4007,3062,2506,2596,7497,4410,5550,6640,5784,4096,3817,4935,5839,6653,6602,6035,8371,4452,5891,6994,6489,6472,4788,4044,3919,5290,6383,5444,4868,4093,3262,2401,3384,3772,4935,6087,3834,2597,2905,4097,3134,5080,4413,4044,2194,2638,4720,4320,4336,3835,3334,2099,2436,4602,4378,4146,1214,1577,2093,3336,6049,7627,6951,3241,3384,4369,4956,10027,9927,10176,9478,7502,5604,7259,10556,10698,10663,10947,10385,6702
Israel,,,,,,,,,,,,,,,,,,,,,,31,26,39,74,44,76,15,242,215,237,169,102,1117,520,433,480,532,546,738,696,719,597,428,583,451,377,338,343,358,345,552,438,399,311,296,298,291,276,299,282,225,276,248,159,83,128,159,82,142,116,57,27,53,32,65,61,33,19,29,39,23,39,22,12,5,15,27,22,15,17,19,5,13,22,50,40,77,113,29,87,100,121,97,142,127,78,140,179,173,240,191,184,149,136,198,300,271,302,310,159,173,345,451,487,516,464,398,385,757,786,972,1146,939,821,831,1134,1390,1327,1525,1409,1168,1238,1720,1604,1877,1939,1605,1448,1016,1887,2006,2044,1990,1830,1112,1042,2048,2125,1954,1787,1362,625,708,1800,1729,1690,1677,1764,754,924,1704,1823,1622,1643,1388,757,1068,1650,1649,1640,1487,1493,711,965,1900,1956,1953,2071,1832,910,1101,2178,2252,3193,2661,2623,1505,2177,3388,3489,3996,4161,3975,2719,3175,4805,5539,4574,5385,5340,3809,2579,3866,7021,7125,8234,8390,5882,3414,1159,4991,9078,7731,7058,2593,2937,5721,4724,4165,3755,2963,916,1646,3169,2336,2117,1612,1500,411,922,1517,1193,1172,1032,849,246,607,884,887,723,644,680,228,658,788,846,769,570,691,212,534,719,675,763,836,761,292,625,873,829,795,770,774,422,765,959,857,1079,1085,1032,580,1025,1258,1198,1579,1438,695,1725,1080,1891,1488,1986,2126,872,2517,1390,2330,1124,4412,2933,2177,2734,1874,3499,4228,2535,4656,4713,4273,2806,5815,5113,4186,6678,5248,6289,6743,6631,7966,7309,7600,6309,8077,5885,9754,8990,9997,9754,5235,8450,8190,6560
Canada,,,,,,,,,,,,,,,,,,,,29,9,76,3,54,165,63,179,143,143,335,192,618,702,461,791,640,894,704,1118,1129,1033,1724,1153,541,2778,807,1309,1269,1513,1405,1257,983,1381,1355,1174,2600,2005,1542,1277,2025,1744,2248,1636,770,1437,1654,2469,1534,1715,1592,1886,1583,2578,1453,1258,1479,1507,1473,1244,1173,1173,1155,1149,1213,1178,1247,1126,1079,1082,1082,1167,1205,1204,955,1013,971,899,987,933,772,798,809,672,681,628,678,528,703,601,462,479,439,436,448,361,359,324,404,386,437,448,316,340,349,320,376,166,249,315,637,267,191,355,319,223,209,421,208,311,322,328,166,198,636,366,343,451,415,316,293,770,535,317,608,717,355,319,682,400,486,320,604,242,245,205,686,374,354,516,245,219,686,336,314,477,425,220,179,214,866,324,217,694,241,257,777,309,477,456,506,297,249,1030,504,519,586,614,370,379,405,1462,378,821,720,488,476,1458,802,952,1027,1174,554,1143,1833,1272,1084,1148,1630,1053,1658,1791,1772,2116,1823,2124,1306,2141,2883,2372,1624,2350,2895,2142,1636,975,4111,2575,2298,2566,139,3737,3307,2238,2687,2581,2902,1532,2823,4099,2730,2663,3017,3556,2374,2336,3529,4738,2782,2784,5393,4346,3944,4871,4445,3984,5474,4770,4430,4301,6033,4462,4518,4794,4987,4957,4745,6795,5282,4958,5679,5954,5675,5383,7895,5495,6454,6264,6419,6354,6305,7724,6171,6399,6686,6715,5984,5916,8377,6244,6512,7006,6700,6459,6007,7577,6260,6921,6684,1749,3114,10100,6465,8189,8459,7143,991,4535,16141,10058,7250,8082,8227,9237,8393,7283,8325,6141,7139,7447,6880,6359,6284,6420
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,167,311,566,293,343,561,1196,2069,1704,1815,1610,2704,2148,2456,2786,3013,3135,3148,3892,4117,4056,4747,5138,4789,4093,4062,4281,4801,4353,3783,3977,4674,4611,3083,3116,3122,2861,2357,2131,2392,2936,2615,2188,1983,1670,1614,1832,2253,1977,1848,1546,1542,1114,1704,1639,1635,1708,1610,1368,1158,1022,972,961,952,1186,1141,987,948,1035,1182,1141,983,839,827,786,867,988,930,878,914,989,993,922,987,1195,1459,1562,1592,1467,1429,1304,1214,1248,1192,1212,1268,1492,1458,1396,1372,1356,1374,1293,1192,1186,1172,1154,1148,1086,1053,1041,1024,1003,1016,1012,1008,992,947,933,926,918,924,931,928,902,913,937,921,927,919,963,942,967,982,996,987,995,1083,1178,1153,1185,1172,1182,1193,1183,1212,1243,1226,1256,1192,1233,1263,1303,1412,1203,1309,1217,1443,1502,1313,1491,1517,1549,1482,1587,1572,1596,1642,1612,1673,1578,1703,1761,1673,1512,1671,1509,1527,1716,1742,1771,1648,1771,1538,1519,1743,1692,1767,1721,1665,1511,1467,1412,1427,1391,1407,1442,1502,1429,1603,1511,1581,1615,1629,1649,1502,1614,1632,1671,1693,1812,1723,1815,2026,1894,2013,2102,2165,2091,2017,2198,2209,2305,2319,2322,2213,2106,2302,2343,2391,2311,2436,2483,2516,2576,2529,2693,2841,3045,3116,3223,3316,3819,4215,4542,5103,5532,6017,6713,7381,6814,36008,44506,30103,29281,31219,30110,31923,32381,32736,31896,30402,32137,33198,31712,823225,32106,29136,26919,29617,32102,29718,27515,26410,22195,20316,19103,19256,19650,18102,17543,15118,14205,15197,15805,15692,14380,12203,11180,9877,13695,14494,13830,12171,11479,9537,9138,10220,9809,9554,8962,8314,7550,6436,5862
Iran,,,,,,44,106,143,205,385,523,835,586,591,1234,1076,743,595,881,958,1075,1289,1365,1209,1053,1178,1192,1046,1237,966,1028,1411,1762,2206,2389,2926,3076,2901,3186,3110,2988,2875,2715,2560,2483,2274,2089,1997,1634,1972,1837,1657,1617,1574,1512,1606,1499,1374,1343,1294,1297,1194,1030,1168,1134,1153,991,1112,1073,983,1006,802,976,1223,1323,1680,1485,1556,1529,1383,1683,1481,1958,1808,2102,1757,1806,2294,2111,2346,2392,2311,1869,2180,2023,1787,2080,2258,2819,2282,2516,2979,3117,3134,3574,2886,2269,2364,2043,2095,2011,2218,2369,2430,2472,2449,2563,2612,2596,2615,2322,2368,2573,2445,2531,2595,2628,2456,2489,2536,2457,2549,2652,2566,2449,2560,2613,2637,2691,2079,2262,2397,2186,2349,2521,2388,2500,2379,2166,2182,2414,2625,2586,2621,2489,2316,2333,2434,2667,2636,2621,2674,2548,2685,2598,2751,2697,2634,2450,2125,2020,2132,2345,2510,2625,2501,2245,2133,2247,2385,2444,2279,2206,2028,2113,2245,2213,2243,2190,2115,1905,1754,1642,1682,1858,1994,2026,1894,1992,2152,2302,2313,2063,2313,2139,2089,2619,2705,2981,2815,3049,2845,3097,3341,3712,3605,3521,3563,3204,3362,3512,3677,3582,3825,3552,3523,3653,3902,4151,4019,4392,4142,3875,3822,4206,4108,4830,4616,4552,4103,3890,4251,5039,5616,5471,6134,5814,6191,5960,6968,6824,8293,8011,7820,7719,8289,8932,8452,8772,8864,9450,9236,10463,10339,11780,11517,11737,11203,12543,13053,13352,13421,13223,13260,12931,13053,12460,13721,13843,13961,14051,13402,12950,13321,13881,13621,13922,13341,12151,11561,10827,11023,10223,10403,9384,8411,7451,7501,7704,7603,7453,7121,6421,6312,6151,6208,6261,6178,6021,5760,5502,5908,6108,6272,6389,6287,6045,5960,6073,6113,6283,6360,6251,5924,5968,6208,6408,6317,6471,6485,6100,6016,5806
Japan,17,25,12,11,13,19,26,18,9,14,19,20,35,32,55,46,33,28,58,55,56,37,62,31,17,50,35,40,54,37,45,40,73,97,102,114,198,179,94,254,280,283,336,371,351,234,375,535,594,636,701,522,300,504,558,563,560,590,366,344,383,396,432,385,332,219,171,284,216,208,274,303,200,168,125,101,98,87,115,69,37,87,50,98,52,54,24,33,28,34,41,23,25,41,21,30,26,70,75,43,35,36,50,30,44,47,42,39,21,51,35,41,63,43,76,70,45,46,58,70,67,55,40,59,84,92,107,92,112,110,139,223,217,130,276,207,180,207,206,356,427,386,411,284,312,735,338,594,842,500,260,757,673,978,769,801,864,594,974,1266,1762,1090,1570,1312,983,1248,1339,1481,1597,1578,1440,835,685,986,1183,1347,1233,1023,643,919,1092,1172,1049,967,742,500,730,891,874,846,854,605,438,627,596,659,588,601,451,295,511,540,652,642,648,440,268,532,551,491,573,601,480,320,311,236,481,564,649,483,298,538,569,653,524,577,401,281,513,499,640,588,695,438,252,501,541,708,642,626,428,310,487,620,619,734,731,496,408,643,731,797,776,877,616,488,878,619,1036,1172,1303,955,797,1296,1524,1644,1705,1753,1498,946,1690,2230,2382,2426,2586,2163,1520,1232,1949,2490,2553,2679,2058,1447,2014,2456,2506,2449,2483,2047,1517,2158,2837,2977,2904,2962,2367,1672,2441,2999,3199,2803,3062,2455,1804,2658,3275,3762,3806,3892,2945,2374,3629,3856,4540,3257,3029,3196,3332,4946,5950,7563,7863,7790,6081,4928,4575,5819,6594,7137,7071,5773,4890
Netherlands,,,,,,,,,,,,,,,46,60,77,56,61,121,,301,155,176,278,292,346,409,534,637,573,545,811,852,1019,1172,1159,1104,884,845,1019,1083,1026,904,1224,952,777,969,1213,1335,1316,1174,964,868,734,1061,1235,1140,1066,750,729,708,887,806,655,655,400,171,386,514,475,445,335,199,317,232,455,319,289,245,161,196,227,270,200,189,125,146,108,198,253,188,176,172,209,133,190,182,176,131,185,103,102,86,209,210,183,239,165,164,184,164,210,179,143,165,139,117,115,107,76,91,65,64,82,110,91,69,73,76,50,62,77,75,61,73,36,37,52,52,42,81,101,71,53,106,99,103,127,144,185,163,168,163,191,137,273,146,223,247,342,338,431,366,372,485,426,601,519,486,577,630,230,1203,577,636,655,507,482,489,552,529,535,508,457,574,415,571,510,507,501,508,527,462,734,601,744,654,925,797,964,1140,823,1270,1231,1087,1300,1379,1542,1753,1974,1887,1844,2217,2245,2357,2544,2777,2713,2995,2914,3011,3294,3252,3825,3967,4003,4579,4528,4989,5822,5971,6499,6373,6845,7378,7287,7791,7984,8114,8182,7992,8165,8743,9271,9996,8651,10202,10343,10292,8102,10264,11119,9804,8683,8286,7743,7633,6965,7242,6671,5664,4680,4667,5407,5634,6091,5914,5413,4830,4302,4609,5645,5933,6070,5388,5170,3926,4909,4470,5743,4459,5585,4568,4045,4921,5606,5874,6521,6779,7067,6146,6528,8720,8838,9080,9884,8457,6633,11169,12779,11931,12217,13032,11168,9810,10388,11499,11487,9848,9080,7415,7502,9398,9681,19635,8633,7453,6614,6506,7238,9745,8258,7380,6655,5468,4977,6197,6566,6082,5324,5643,4792
Switzerland,,,,,,,,,,,,,,24,100,54,69,37,117,161,,487,220,841,,500,328,1047,1219,1281,899,1321,1082,1020,914,1117,1148,753,1093,683,1163,1059,779,899,595,557,596,1027,771,500,556,308,273,248,400,396,346,326,336,204,119,205,228,181,217,167,103,100,143,179,119,112,88,76,28,51,66,81,44,54,39,36,33,50,51,58,15,10,21,40,36,13,18,11,10,15,15,20,32,17,17,9,3,19,20,23,20,9,7,16,23,33,19,31,23,14,23,33,13,35,8,49,18,22,44,52,58,69,62,35,62,137,116,134,97,70,47,54,129,88,104,127,66,63,70,132,142,92,110,99,43,108,141,117,154,148,110,65,132,193,220,210,180,138,66,130,181,181,161,182,152,105,187,274,234,268,253,200,128,197,311,266,306,295,276,157,202,383,361,340,376,292,163,216,370,364,405,425,444,191,245,469,405,528,465,475,257,315,514,530,488,,,1095,286,437,391,372,,,782,225,411,550,552,,,1548,700,1077,1172,1487,,,4068,1445,2823,2613,3105,,,8737,3008,5596,5256,6634,,,17440,5949,8616,9386,9207,,,21926,6126,10073,10128,9409,,,17309,5980,8270,6924,6739,,,12839,4560,6114,5007,4946,,,9751,4241,4876,4509,4312,,,8782,3802,4786,4455,4382,,,9809,4262,5086,5041,5136,,,10726,4271,5625,5058,4478,,,10002,4275,5033,4898,,,,10087,4197,5424,4391,,,,9665,4020,4808,3975,3219,,,6523,2851,3001,2474,2396,,,4703
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,31,28,89,,84,45,32,21,64,100,55,36,181,98,115,258,91,181,151,535,280,393,1388,914,641,951,671,2265,519,1172,1016,998,931,1208,697,1512,1413,1664,734,3683,2186,1182,2491,2741,3045,3483,2075,3394,1444,3817,3628,3709,3321,3168,2292,1515,3237,4247,4298,3891,4046,3732,2660,4550,4537,4749,2929,4056,4205,4020,5772,6154,5874,6506,7386,8805,5563,8126,749,4284,4202,4358,4757,3181,4040,5087,5965,,5961,8987,3256,4164,3752,3480,3537,3413,3598,2511,3363,3879,3913,3762,3625,3430,2946,2848,3264,3527,3595,3481,3638,2985,3575,3633,3537,3198,3064,3616,3797,3744,3884,3835,3951,3963,4090,4091,4406,4463,4546,4865,,,13756,5288,5678,,6809,,21358,4250,6790,7734,7785,8466,,14149,5109,6547,,8875,17741,,9507,10143,5547,7828,9099,8639,9008,9169,9090,6112,6944,5996,8619,7964,9474,7731,4871,5092,,13016,6703,6854,6275,1598,4615,6586,7291,6603,6162,6787,4241,4160,6380,5698,6314,6453,6030,,7651,6149,11889,,5558,5160,3412,3054,3061,3468,3267,,6605,1830,2930,2733,2952,7474,3283,1800,2803,,5766,,2677,3132,3126,2201,3242,5758,,3240,5599,,1859,1923,2431,2666,2586,2323,,,9284,2935,,2781,2507,2323,1194,1904,2575,2231,2413,2249,2112,1257,1663,,3986,4164,,1589,887,1882,,3908,4021,2162,,1075,,3470,,3785,1828,1224,,2709,2490,,1832,,4030,1157,,3327,,,6442,1618,958,1678,,3829,1564,,2111,1251,1588,4641,,,2962,1376,,2543,,4162,,,9004,2166,2881,,15792,,4544,
Chile,,,,,,,,,,,,,,,,,,,,,,,,13,81,46,37,,196,131,95,114,176,220,164,304,350,230,310,289,293,373,333,512,310,344,301,430,426,529,671,286,312,392,356,534,445,907,358,419,325,464,516,494,1363,473,482,552,520,1138,985,2526,1228,980,1373,1032,1533,1391,3458,1647,1197,1658,2660,2659,2502,5485,2353,2278,3520,4038,3964,4276,9842,3709,4895,3964,4328,4654,3695,13188,4830,5470,3528,4942,4664,4207,13990,6405,4696,3913,5697,5636,6754,8182,6938,5143,5013,1900,4475,6290,5355,5607,4608,3804,3649,4648,4296,4406,4216,4017,3394,2650,2498,3548,3758,3685,3025,2462,2064,3133,3058,2755,3012,2616,1836,1712,2493,2741,2407,2084,2099,1654,1719,2357,2545,2288,2198,2133,1877,1775,1961,2131,1991,2073,1762,1469,1761,1948,2154,2198,2033,1988,1572,1552,1866,2077,1791,2044,1556,1353,1182,1812,1920,1939,1957,1903,1417,1380,1737,1870,2037,1965,1752,1419,1594,1762,1968,1965,2076,1764,1267,1486,1642,1866,2131,2082,1685,1550,1304,1863,1677,1847,1600,1194,1055,1380,1731,2234,2111,1922,1770,1629,1691,1759,1840,1881,1708,1567,1560,1134,1576,1753,1826,1776,1461,1448,1092,1124,1694,1813,1757,1545,1173,1159,1494,1775,1636,1521,1535,927,1005,1520,1521,1685,1608,1276,1062,840,1540,1808,1587,1581,1321,1028,897,1634,1592,1646,1597,1331,1006,948,1454,1573,1558,1497,1440,1007,1005,1570,1581,1698,1489,1313,1121,1034,1508,1729,1533,1714,1760,1392,1244,1662,1534,1807,2138,1911,1499,1402,2001,2403,2220,2191,2447,1196,1725,3238,1679,2563,1711,1923,1958,2964,2023,3591,3338,2289,2450,2460,2382,3693,4205,4361,4181,3969,3243,3390,4187,4468,4313,4339,3918
